city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Espanola,US,2022-01-26 00:41:52,35.9911,-106.0806,46.6,39,100,5.84
185,Tautira,PF,2022-01-26 00:41:52,-17.7333,-149.15,87.82,78,82,15.3
186,Lae,PG,2022-01-26 00:41:53,-6.7221,146.9847,88.74,61,100,2.42
187,Moose Factory,CA,2022-01-26 00:41:53,51.2585,-80.6094,-16.6,63,0,12.66
188,Saint-Paul-Les-Dax,FR,2022-01-26 00:41:53,43.7272,-1.0516,39.78,92,0,3.44
189,Perth,AU,2022-01-26 00:42:54,-31.9333,115.8333,73.04,58,0,9.22
190,Sterling,US,2022-01-26 00:42:16,39.0062,-77.4286,34.66,58,75,1.99
191,Nago,JP,2022-01-26 00:42:54,26.5881,127.9761,66.36,66,5,8.84
192,Fort Nelson,CA,2022-01-26 00:42:55,58.8053,-122.7002,42.39,49,100,17.27
193,Saint George,US,2022-01-26 00:42:55,37.1041,-113.5841,48.79,33,0,1.01
194,Dire Dawa,ET,2022-01-26 00:42:56,9.5931,41.8661,62.04,66,6,0.34
195,Codrington,AU,2022-01-26 00:42:56,-38.2667,141.9667,93.51,31,47,6.42
196,Todos Santos,MX,2022-01-26 00:42:56,23.45,-110.2167,72.19,52,100,3.0
197,Clyde River,CA,2022-01-26 00:38:08,70.4692,-68.5914,-5.57,77,100,18.41
198,Bredasdorp,ZA,2022-01-26 00:42:57,-34.5322,20.0403,65.52,82,100,4.61
199,Daru,PG,2022-01-26 00:42:58,-9.0763,143.2092,87.53,66,100,2.48
200,Wanning,CN,2022-01-26 00:42:58,18.8003,110.3967,73.33,85,100,3.27
201,Waingapu,ID,2022-01-26 00:42:58,-9.6567,120.2641,84.52,70,63,14.43
202,Souillac,MU,2022-01-26 00:42:59,-20.5167,57.5167,75.58,69,20,5.75
203,Walvis Bay,NA,2022-01-26 00:42:59,-22.9575,14.5053,67.08,82,7,10.36
204,Ola,RU,2022-01-26 00:42:59,59.5833,151.2833,-9.22,85,99,8.7
205,Hilo,US,2022-01-26 00:43:00,19.7297,-155.09,78.53,68,75,9.22
206,Ixtapa,MX,2022-01-26 00:43:00,20.7,-105.2,67.82,85,7,1.41
207,Voyinka,UA,2022-01-26 00:43:01,45.8699,33.9914,21.65,91,98,3.8
208,Kahului,US,2022-01-26 00:43:01,20.8947,-156.47,82.42,54,20,19.57
209,Dhidhdhoo,MV,2022-01-26 00:43:01,6.8833,73.1,79.77,60,85,7.27
210,Ponta Do Sol,PT,2022-01-26 00:39:19,32.6667,-17.1,61.43,68,24,8.08
211,Dubna,RU,2022-01-26 00:43:02,56.7333,37.1667,16.93,97,96,4.29
212,Tiksi,RU,2022-01-26 00:43:02,71.6872,128.8694,-5.87,94,100,11.14
213,Tursunzoda,TJ,2022-01-26 00:43:03,38.5144,68.2333,29.28,37,0,6.26
214,Kichera,RU,2022-01-26 00:43:03,55.9375,110.0997,-9.8,90,89,4.47
215,Marshall,US,2022-01-26 00:40:42,34.3834,-86.3333,44.31,69,0,5.99
216,Fortuna,US,2022-01-26 00:43:04,40.5982,-124.1573,58.19,81,4,1.01
217,Santander,ES,2022-01-26 00:43:04,43.4647,-3.8044,44.46,61,0,3.0
218,Taltal,CL,2022-01-26 00:43:04,-25.4,-70.4833,66.56,76,0,3.94
219,Ulladulla,AU,2022-01-26 00:43:05,-35.35,150.4667,77.9,69,100,7.76
220,Broken Hill,AU,2022-01-26 00:43:05,-31.95,141.4333,83.91,51,40,8.05
221,Panlaitan,PH,2022-01-26 00:43:06,12.1191,119.8486,81.84,73,82,7.4
